time,voltage
2.007481575012207,705.00
3.013465404510498,701.00
4.108088493347168,700.00
5.107980728149414,701.00
6.2079668045043945,700.00
7.207763910293579,700.00
8.206371784210205,701.00
9.307600259780884,700.00
10.308390378952026,700.00
11.408113241195679,700.00
12.40820837020874,700.00
13.407759428024292,701.00
14.407773971557617,700.00
15.508190393447876,701.00
16.50818419456482,701.00
17.507665157318115,700.00
18.60773992538452,700.00
19.612086296081543,700.00
20.60798668861389,700.00
21.60647177696228,700.00
22.70807957649231,700.00
23.70733642578125,701.00
