time,voltage
1.9932467937469482,962.00
3.093437671661377,960.00
4.090195178985596,959.00
5.193177938461304,960.00
6.192612648010254,959.00
7.192662477493286,960.00
8.192979574203491,960.00
9.293454647064209,960.00
10.292802333831787,960.00
11.392930507659912,959.00
12.39453911781311,959.00
13.39345932006836,959.00
14.49321436882019,959.00
15.493364334106445,959.00
16.49318218231201,959.00
17.493037223815918,961.00
18.593380212783813,959.00
19.593016862869263,959.00
20.693010330200195,960.00
21.693417072296143,959.00
22.69265866279602,959.00
23.6934015750885,960.00
24.793123722076416,960.00
