time,voltage
2.0539450645446777,1000.00
3.055443525314331,996.00
4.153706312179565,996.00
5.154312610626221,997.00
6.1546242237091064,997.00
7.153738737106323,997.00
8.253793478012085,997.00
9.253801822662354,996.00
10.354560613632202,996.00
11.352523565292358,997.00
12.35442304611206,996.00
13.355877876281738,996.00
14.454169988632202,997.00
15.454028367996216,996.00
16.45387029647827,998.00
17.55377173423767,997.00
18.55436873435974,997.00
19.6540687084198,996.00
20.65461230278015,997.00
21.655005931854248,997.00
22.653815031051636,997.00
23.75401210784912,997.00
24.753862619400024,997.00
