time,voltage
1.9964098930358887,391.00
3.096635580062866,392.00
4.096676826477051,391.00
5.0963146686553955,391.00
6.19681978225708,391.00
7.196738958358765,392.00
8.197051763534546,391.00
9.29636812210083,391.00
10.29651165008545,392.00
11.396544218063354,392.00
12.395698308944702,392.00
13.398780822753906,392.00
14.396959781646729,392.00
15.496513605117798,391.00
16.495885133743286,391.00
17.49654269218445,391.00
18.59683132171631,392.00
19.59625816345215,392.00
20.696609020233154,391.00
21.695523023605347,391.00
22.69637107849121,391.00
23.69604802131653,391.00
24.796886920928955,392.00
25.796671152114868,391.00
26.79687738418579,391.00
27.896876335144043,392.00
