    time,voltage
    2.012904405593872,591.00
    3.0150246620178223,592.00
    4.113319158554077,591.00
    5.1121604442596436,591.00
    6.2133073806762695,591.00
    7.213042736053467,591.00
    8.213035345077515,591.00
    9.313356399536133,591.00
    10.313084363937378,591.00
    11.311349630355835,591.00
    12.312922477722168,591.00
    13.413276672363281,591.00
    14.412830591201782,591.00
    15.51268219947815,591.00
    16.513298988342285,591.00
    17.513423204421997,591.00
    18.613240957260132,591.00
    19.613381385803223,590.00
    20.612927436828613,590.00
    21.613232612609863,591.00
    22.713324785232544,590.00
    23.712675094604492,591.00
    24.813098907470703,591.00
