time,voltage
1.975691556930542,459.00
3.0753355026245117,459.00
4.079260587692261,459.00
5.174951076507568,459.00
6.177660703659058,458.00
7.175173997879028,458.00
8.275227308273315,459.00
9.275734186172485,458.00
10.274852991104126,458.00
11.375355243682861,459.00
12.374895572662354,458.00
13.374353885650635,458.00
14.474747896194458,458.00
15.47472333908081,458.00
16.475284099578857,459.00
17.57496690750122,459.00
18.575618743896484,458.00
19.575748682022095,459.00
20.67580246925354,459.00
21.67432713508606,458.00
22.675795555114746,458.00
23.775668144226074,459.00
24.775534868240356,459.00
25.77839708328247,458.00
